Date,kwh,days,usage,rate
02-AUG-2016,252,29,8.69,2.03
01-JUL-2016,246,33,7.42,1.76
01-JUN-2016,186,30,6.20,1.66
01-MAY=2016,142,31,4.58,1.41
01-APR-2016,132,31,4.26,1.37
01-MAR-2016,128,28,4.57,1.50
02-FEB-2016,136,29,4.69,1.46
04-JAN-2016,152,33,4.61,1.35
02-DEC-2015,134,30,4.47,1.41
02-NOV-2015,166,32,5.19,1.45
01-OCT-2015,191,30,6.37,1.66
01-SEP-2015,257,29,8.86,2.01
03-AUG-2015,232,32,7.25,1.72
02-JUL-2015,181,31,5.84,1.56
01-JUN-2015,165,31,5.32,1.49
01-MAY-2015,169,30,5.63,1.56
01-APR-2015,173,30,5.77,1.58
02-MAR-2015,162,28,5.79,1.64
01-FEB-2015,175,31,5.65,1.51
01-JAN-2015,179,32,5.59,1.48
01-DEC-2014,191,28,6.82,
03-NOV-2014,225,33,6.81,
01-OCT-2014,247,29,8.52,
02-SEP-2014,303,32,9.47,
01-AUG-2014,245,30,8.17,
02-JUL-2014,190,30,6.33,
02-JUN-2014,189,32,5.91,
01-MAY-2014,164,30,5.47,
01-APR-2014,159,29,5.48,
03-MAR-2014,158,28,5.64,
03-FEB-2014,182,,,
