Date,Role,Event,Location,Notes
2015-10-13,attendee,UX UI Design,Ch'town,
2015-10-08,attendee,PEI Devs,Summerside,
2015-09-22,co-organizer,Open Data Book Club, Ch'town,
2015-09-16,speaker,ScreenScape,Ch'town,Docker demo
2015-09-10,attendee,PEI Devs,Ch'town,
2015-08-13,speaker,PEI Devs,Ch'town,Open Data
2015-07-31,speaker,IT Garage,Ch'town,Lifecycle of a Bug Fix
2015-07-09,attendee,PEI Devs,Ch'town,
2015-06-13,speaker,Maritime DevCon,Fredericton NB,
2015-06-11,attendee/lightning talk,PEI Devs,Ch'town,Open Data summits
2015-06-16,speaker,ScreenScape,Ch'town,Maritime DevCon recap
2015-02-20,speaker,ScreenScape,Ch'town,Java 8 streams

