"Date","Type","Author","Title","Rating","Donated","Notes","In Library"
"JUN 2023","FIC","Anita Rau Badami","Can You Hear The Nightbird Call?","","","",""
"JUN 2023","FIC","Lewis Caroll","Alice in Wonderland","","","",""
"JUN 2023","FIC","Jack London","5 Great Stories","","","",""
"JUN 2023","FIC","","Beowulf","","","",""
"JUN 2023","FIC","Anita Rau Badami","Can You Hear The Nightbird Call?","","","","JUN 2023","FIC","","Beowulf","","","",""
"JUN 2023","FIC","Anita Rau Badami","Can You Hear The Nightbird Call?","","","","JUN 2023","FIC","David Weale","A Long Way From The Road","","","",""
"JUN 2023","FIC","Anita Rau Badami","Can You Hear The Nightbird Call?","","","","JUN 2023","FIC","L.M. Montgomery","Anne of Green Gables","","","",""
"JUN 2023","NON","Richard Chapman","The Complete Guitarist","","","",""
"JUN 2023","NON","","Chopin's Letters","","","",""
"JUN 2023","NON","Peter Nowak","The Rise of Real-Life Superheroes","","","",""
"JUN 2023","NON","Conrad Black","Rise To Greatness","","","",""
"JUN 2023","NON","Patrick Ledwell","I Am An Islander","","","",""
"JUN 2023","NON","Al Stachan","100 Years Of Hockey","","","",""
