"Date","Type","Author","Title","Rating","Donated","Notes","In Library"
"AUG 2024","NON","Malcolm Gladwell","Talking to Strangers","R_2","Y","",""
"AUG 2024","NON","Walter Stewart","Tommy Douglas","R1","","",""
"AUG 2024","NON","Michael Lewis","Going Infinite","R2","","",""
"AUG 2024","NON","Matthew Walker","Why We Sleep","R2","","",""
"AUG 2024","NON","David Price","The Crew","R2","","",""
"AUG 2024","NON","Gerald Weinberg","The Secrets Of Consulting","","","",""
"AUG 2024","NON","Stephen King","On Writing","","","",""
"AUG 2024","NON","Sheila Davis","The Craft of Lyric Writing","","","",""
"JUL 2023","NON","Sun Tzu","The Art Of War","","","",""
"JUL 2023","NON","David Allen","Getting Things Done","","","",""
"JUL 2023","NON","","Philosophy For Beginners","","","",""
"JUL 2023","NON","","Worlds Most Beautiful Places","","","",""
"JUL 2023","NON","David Attenborough","Life of Birds","","","",""
"JUL 2023","NON","Michael Lewis","Moneyball","","","",""
"JUL 2023","NON","Adharanand Finn","Running With The Kenyans","","","",""
"JUL 2023","NON","Walter Isaacson","Leonardo Da Vinci","","","",""
"JUL 2023","FIC","John Irving","A Prayer For Owen Meany","","","",""
"JUL 2023","FIC","","Before I Wake","","","",""
"JUN 2023","FIC","Anita Rau Badami","Can You Hear The Nightbird Call?","","","",""
"JUN 2023","FIC","Lewis Caroll","Alice in Wonderland","","","",""
"JUN 2023","FIC","Jack London","5 Great Stories","","","",""
"JUN 2023","FIC","","Beowulf","","","",""
"JUN 2023","FIC","David Weale","A Long Way From The Road","","","",""
"JUN 2023","NON","Richard Chapman","The Complete Guitarist","","","",""
"JUN 2023","NON","","Chopin's Letters","","","",""
"JUN 2023","NON","Peter Nowak","The Rise of Real-Life Superheroes","","","",""
"JUN 2023","NON","Conrad Black","Rise To Greatness","","","",""
"JUN 2023","NON","Patrick Ledwell","I Am An Islander","","","",""
"JUN 2023","NON","Al Stachan","100 Years Of Hockey","","","",""
