"Date","Type","Author","Title","Rating","Donated","Notes","In Library"
"JAN 2022","NON","David Price","The Crew","UP","","",""
"JAN 2022","NON","Michael Lewis","The Premonition","UP","","",""
"JAN 2022","NON","Dave Grohl","The Storyteller","UP","","",""
"DEC 2021","NON","Sid Meier","Sid Meier's Memoir!","UP+","","borrowed from VD",""
"DEC 2021","NON","Delphine Minoui","The Book Collectors","NEUTRAL","","",""
"DEC 2021","NON","Viktor Frankl","Man's Search For Meaning","UP","","",""
"SEP 2021","NON","Mark Reid","100 Photos That Changed Canada","UP","","",""
"SEP 2021","FICT","L.M. Montgomery","Anne of Green Gables","UP+","","",""
"JUL 2021","NON","Allan Levine","King (life guided by hand of destiny)","UP","","sold",""
"JUN 2021","NON","Pamela Palmater","Warrior Life","UP","Y","",""
"MAR 2021","NON","Peter Mansbridge","Extraordinary Canadians","UP","","sold",""
"MAR 2021","NON","Bob Joseph","21 Things ... Indian Act","UP+","","",""
"MAR 2021","NON","David Bayes, Ted Orland","Art & Fear","NEUTRAL","","sold",""
"FEB 2021","NON","Peter Nowak","The Rise of Real-Life Superheroes","UP","","",""
"FEB 2021","NON","Erik Larson","Splendid and the Vile","UP","","",""
"Oct 2020","NON","Jean Chretien","My Stories, My Times","UP+","Y","",""
"Oct 2020","NON","Malcolm Gladwell","What the Dog Saw","UP+","","",""
"Aug 2020","NON","Ken Dryden","Scotty","UP+","","",""
"Aug 2020","NON","Linden MacIntyre","The Wake","UP","","",""
"Jul 2020","NON","Malcolm Gladwell","Talking to Strangers","UP+","","",""
"Jul 2020","NON","Michael Lewis","Moneyball","UP+","","",""
"Jul 2020","NON","Nicolas Jennings","Lightfoot","UP","","",""
"Jun 2020","NON","Beverley McLachlin","Truth Be Told","UP","Y","",""
"Jun 2020","NON","Bill Bryson","The Body: A Guide for Occupants","UP","","",""
"May 2020","NON","Esther Kemp","The Mouse that Refused to Hustle","UP","","",""
"Mar 2019","NON","Michael Lewis","The Fifth Risk","NEUTRAL","Y","",""
"Jul 2018","NON","Beverley McLachlin","Full Disclosure","NEUTRAL","","Chief Justice BM",""
"Jun 2018","NON","Daniel Kahneman","Thinking Fast And Slow","UP+","","",""
"Feb 2018","NON","Naoki Higashida","The Reason I Jump","NEUTRAL","Y","",""
"Feb 2018","NON","Carol Off","All We Leave Behind","UP","Y","",""
"Feb 2018","NON","Michael Finkel","The Stranger in the Woods","UP+","Y","",""
"Oct 2017","NON","Philip Ball","The Music Instinct","NEUTRAL","Y","",""
"Jul 2017","NON","Bill Burnett,Dave Evans","Design Your Life","UP+","","",""
"Jun 2017","NON","Dr David Morrison","Witness","NEUTRAL","Y","","Y"
"Jun 2017","NON","Charles Wheelan","Naked Statistics","UP+","","",""
"Jan 2017","NON","Helen Chreighton","A Folk Tale Journey","PASS","Y","stories weird; author interesting","N"
"Jan 2017","NON","Malcolm Gladwell","Blink","UP+","Y","","Y"
"Jan 2017","NON","Ted Koppel","Lights Out","UP","Y","","Y"
"Jan 2017","NON","Michael Lewis","Undoing Project","UP+","Y","","Y"
"Dec 2016","NON","Elizabeth Lunday,Mario Zucca","Secret Lives Composers","UP","","",""
"Dec 2016","NON","","100 Inventions","NEUTRAL","","",""
"Dec 2016","NON","","100 Folk Heroes","NEUTRAL","Y","","N"
"Dec 2016","NON","","Galileo","NEUTRAL","Y","","Y"
"Sep 2016","NON","Nate Silver","Signal and Noise","UP+","","",""
"Sep 2016","NON","Pierre Burton","1967","UP+","Y","","Y"
"Sep 2016","NON","Michael Ignatieff","Fire and Ashes","UP","Y","","Y"
"Sep 2016","FICT","Matt Haig","The Humans","UP","Y","","Y"
"Aug 2016","NON","Laszlo Bock","Work Rules!","UP","Y","","Y"
"Jul 2016","NON","Walter Isaacson","Steve Jobs","UP","Y","","Y"
"Jul 2016","","","I know you have Soul","UP","","SK lent to me",""
"Jul 2016","NON","Erik Larson","Devil in White City","PASS","Y","","Y"
"Jun 2016","NON","Janet Maybee","Aftershock (Halifax)","NEUTRAL","Y","","Y"
"Apr 2016","NON","Erik Larson","Dead Wake","UP+","Y","","Y"
"Apr 2016","NON","Betty Large,Tom Crothers","CFCY: Into Thin Air","UP","","given to Aunt Dixie",""
"Apr 2016","NON","Matthew Guerrieri","First Four Notes","NEUTRAL","Y","","Y"
"Jul 2015","","","Alex Campbell/PEI","NEUTRAL","","",""
"Jun 2015","NON","Andrew Graham-Dixon","Caravaggio","UP","","",""
"Apr 2015","","","Good Luck Right Now","NEUTRAL","Y","","Y"
"Feb 2015","NON","Ken Jennings","Maphead","NEUTRAL","Y","","Y"
"Jan 2015","NON","","Chris Hadfield","UP","Y","","Y"
"Dec 2014","NON","Michael Lewis","The Big Short","UP","Y","","Y"
"Dec 2014","NON","Malcolm Gladwell","David & Goliath","UP+","Y","","Y"
"Dec 2014","NON","","Bobby Orr: My Story","NEUTRAL","Y","down on sport auto-bios","Y"
"Jan 2014","NON","Steven Adler","Appetite Destruction","DOWN","","",""
"Jan 2014","","","Etymologicon","UP","Y","","Y"
"Dec 2013","NON","","Power of Habit","UP","Y","","Y"
"Apr 2013","NON","","Liar's Poker","NEUTRAL","","",""
"Mar 2013","NON","","Brahms","UP","","way up on composer bios",""
"Dec 2012","NON","Jian Ghomeshi","1982","NEUTRAL","Y","painful in retro","Y"
